0.000000	-0.000000
0.001000	-0.000000
0.002000	-0.000000
0.003000	-0.000000
0.004000	-0.000000
0.005000	-0.000000
0.006000	-0.000000
0.007000	-0.000000
0.008000	-0.000000
0.009000	-0.000000
0.010000	-0.000000
0.011000	-0.000000
0.012000	-0.000000
0.013000	-0.000000
0.014000	-0.000000
0.015000	-0.000000
0.016000	-0.000000
0.017000	-0.000000
0.018000	-0.000000
0.019000	-0.000000
0.020000	-0.000000
0.021000	-0.000000
0.022000	-0.000000
0.023000	-0.000000
0.024000	-0.000000
0.025000	-0.000000
0.026000	-0.000000
0.027000	-0.000000
0.028000	-0.000000
0.029000	-0.000000
0.030000	-0.000000
0.031000	-0.000000
0.032000	-0.000000
0.033000	-0.000000
0.034000	-0.000000
0.035000	-0.000000
0.036000	-0.000000
0.037000	-0.000000
0.038000	-0.000000
0.039000	-0.000000
0.040000	-0.000000
0.041000	-0.000000
0.042000	-0.000000
0.043000	-0.000000
0.044000	-0.000000
0.045000	-0.000000
0.046000	-0.000000
0.047000	-0.000000
0.048000	-0.000000
0.049000	-0.000000
0.050000	-0.000000
0.051000	-0.000000
0.052000	-0.000000
0.053000	-0.000000
0.054000	-0.000000
0.055000	-0.000000
0.056000	-0.000000
0.057000	-0.000000
0.058000	-0.000000
0.059000	-0.000000
0.060000	-0.000000
0.061000	-0.000000
0.062000	-0.000000
0.063000	-0.000000
0.064000	-0.000000
0.065000	-0.000000
0.066000	-0.000000
0.067000	-0.000000
0.068000	-0.000000
0.069000	-0.000000
0.070000	-0.000000
0.071000	-0.000000
0.072000	-0.000000
0.073000	-0.000000
0.074000	-0.000000
0.075000	-0.000000
0.076000	-0.000000
0.077000	-0.000000
0.078000	-0.000000
0.079000	-0.000000
0.080000	-0.000000
0.081000	-0.000000
0.082000	-0.000000
0.083000	-0.000000
0.084000	-0.000000
0.085000	-0.000000
0.086000	-0.000000
0.087000	-0.000000
0.088000	-0.000000
0.089000	-0.000000
0.090000	-0.000000
0.091000	-0.000000
0.092000	-0.000000
0.093000	-0.000000
0.094000	-0.000000
0.095000	-0.000000
0.096000	-0.000000
0.097000	-0.000000
0.098000	-0.000000
0.099000	-0.000000
0.100000	-0.000000
0.101000	-0.000000
0.102000	-0.000000
0.103000	-0.000000
0.104000	-0.000000
0.105000	-0.000000
0.106000	-0.000000
0.107000	-0.000000
0.108000	-0.000000
0.109000	-0.000000
0.110000	-0.000000
0.111000	-0.000000
0.112000	-0.000000
0.113000	-0.000000
0.114000	-0.000000
0.115000	-0.000000
0.116000	-0.000000
0.117000	-0.000000
0.118000	-0.000000
0.119000	-0.000000
0.120000	-0.000000
0.121000	-0.000000
0.122000	-0.000000
0.123000	-0.000000
0.124000	-0.000000
0.125000	-0.000000
0.126000	-0.000000
0.127000	-0.000000
0.128000	-0.000000
0.129000	-0.000000
0.130000	-0.000000
0.131000	-0.000000
0.132000	-0.000000
0.133000	-0.000000
0.134000	-0.000000
0.135000	-0.000000
0.136000	-0.000000
0.137000	-0.000000
0.138000	-0.000000
0.139000	-0.000000
0.140000	-0.000000
0.141000	-0.000000
0.142000	-0.000000
0.143000	-0.000000
0.144000	-0.000000
0.145000	-0.000000
0.146000	-0.000000
0.147000	-0.000000
0.148000	-0.000000
0.149000	-0.000000
0.150000	-0.000000
0.151000	-0.000000
0.152000	-0.000000
0.153000	-0.000000
0.154000	-0.000000
0.155000	-0.000000
0.156000	-0.000000
0.157000	-0.000000
0.158000	-0.000000
0.159000	-0.000000
0.160000	-0.000000
0.161000	-0.000000
0.162000	-0.000000
0.163000	-0.000000
0.164000	-0.000000
0.165000	-0.000000
0.166000	-0.000000
0.167000	-0.000000
0.168000	-0.000000
0.169000	-0.000000
0.170000	-0.000000
0.171000	-0.000000
0.172000	-0.000000
0.173000	-0.000000
0.174000	-0.000000
0.175000	-0.000000
0.176000	-0.000000
0.177000	-0.000000
0.178000	-0.000000
0.179000	-0.000000
0.180000	-0.000000
0.181000	-0.000000
0.182000	-0.000000
0.183000	-0.000000
0.184000	-0.000000
0.185000	-0.000000
0.186000	-0.000000
0.187000	-0.000000
0.188000	-0.000000
0.189000	-0.000000
0.190000	-0.000000
0.191000	-0.000000
0.192000	-0.000000
0.193000	-0.000000
0.194000	-0.000000
0.195000	-0.000000
0.196000	-0.000000
0.197000	-0.000000
0.198000	-0.000000
0.199000	-0.000000
0.200000	-0.000000
0.201000	-0.000000
0.202000	-0.000000
0.203000	-0.000000
0.204000	-0.000000
0.205000	-0.000000
0.206000	-0.000000
0.207000	-0.000000
0.208000	-0.000000
0.209000	-0.000000
0.210000	-0.000000
0.211000	-0.000000
0.212000	-0.000000
0.213000	-0.000000
0.214000	-0.000000
0.215000	-0.000000
0.216000	-0.000000
0.217000	-0.000000
0.218000	-0.000000
0.219000	-0.000000
0.220000	-0.000000
0.221000	-0.000000
0.222000	-0.000000
0.223000	-0.000000
0.224000	-0.000000
0.225000	-0.000000
0.226000	-0.000000
0.227000	-0.000000
0.228000	-0.000000
0.229000	-0.000000
0.230000	-0.000000
0.231000	-0.000000
0.232000	-0.000000
0.233000	-0.000000
0.234000	-0.000000
0.235000	-0.000000
0.236000	-0.000000
0.237000	-0.000000
0.238000	-0.000000
0.239000	-0.000000
0.240000	-0.000000
0.241000	-0.000000
0.242000	-0.000000
0.243000	-0.000000
0.244000	-0.000000
0.245000	-0.000000
0.246000	-0.000000
0.247000	-0.000000
0.248000	-0.000000
0.249000	-0.000000
0.250000	-0.000000
0.251000	-0.000000
0.252000	-0.000000
0.253000	-0.000000
0.254000	-0.000000
0.255000	-0.000000
0.256000	-0.000000
0.257000	-0.000000
0.258000	-0.000000
0.259000	-0.000000
0.260000	-0.000000
0.261000	-0.000000
0.262000	-0.000000
0.263000	-0.000000
0.264000	-0.000000
0.265000	-0.000000
0.266000	-0.000000
0.267000	-0.000000
0.268000	-0.000000
0.269000	-0.000000
0.270000	-0.000000
0.271000	-0.000000
0.272000	-0.000000
0.273000	-0.000000
0.274000	-0.000000
0.275000	-0.000000
0.276000	-0.000000
0.277000	-0.000000
0.278000	-0.000000
0.279000	-0.000000
0.280000	-0.000000
0.281000	-0.000000
0.282000	-0.000000
0.283000	-0.000000
0.284000	-0.000000
0.285000	-0.000000
0.286000	-0.000000
0.287000	-0.000000
0.288000	-0.000000
0.289000	-0.000000
0.290000	-0.000000
0.291000	-0.000000
0.292000	-0.000000
0.293000	-0.000000
0.294000	-0.000000
0.295000	-0.000000
0.296000	-0.000000
0.297000	-0.000001
0.298000	-0.000001
0.299000	-0.000001
0.300000	-0.000001
0.301000	-0.000001
0.302000	-0.000001
0.303000	-0.000001
0.304000	-0.000001
0.305000	-0.000001
0.306000	-0.000001
0.307000	-0.000001
0.308000	-0.000001
0.309000	-0.000001
0.310000	-0.000001
0.311000	-0.000001
0.312000	-0.000001
0.313000	-0.000001
0.314000	-0.000001
0.315000	-0.000001
0.316000	-0.000001
0.317000	-0.000001
0.318000	-0.000001
0.319000	-0.000002
0.320000	-0.000002
0.321000	-0.000002
0.322000	-0.000002
0.323000	-0.000002
0.324000	-0.000002
0.325000	-0.000002
0.326000	-0.000002
0.327000	-0.000002
0.328000	-0.000002
0.329000	-0.000003
0.330000	-0.000003
0.331000	-0.000003
0.332000	-0.000003
0.333000	-0.000003
0.334000	-0.000003
0.335000	-0.000003
0.336000	-0.000004
0.337000	-0.000004
0.338000	-0.000004
0.339000	-0.000004
0.340000	-0.000004
0.341000	-0.000005
0.342000	-0.000005
0.343000	-0.000005
0.344000	-0.000005
0.345000	-0.000006
0.346000	-0.000006
0.347000	-0.000006
0.348000	-0.000007
0.349000	-0.000007
0.350000	-0.000007
0.351000	-0.000008
0.352000	-0.000008
0.353000	-0.000008
0.354000	-0.000009
0.355000	-0.000009
0.356000	-0.000010
0.357000	-0.000010
0.358000	-0.000011
0.359000	-0.000011
0.360000	-0.000012
0.361000	-0.000012
0.362000	-0.000013
0.363000	-0.000013
0.364000	-0.000014
0.365000	-0.000015
0.366000	-0.000015
0.367000	-0.000016
0.368000	-0.000017
0.369000	-0.000018
0.370000	-0.000019
0.371000	-0.000020
0.372000	-0.000020
0.373000	-0.000021
0.374000	-0.000022
0.375000	-0.000024
0.376000	-0.000025
0.377000	-0.000026
0.378000	-0.000027
0.379000	-0.000028
0.380000	-0.000030
0.381000	-0.000031
0.382000	-0.000032
0.383000	-0.000034
0.384000	-0.000035
0.385000	-0.000037
0.386000	-0.000039
0.387000	-0.000041
0.388000	-0.000042
0.389000	-0.000044
0.390000	-0.000046
0.391000	-0.000049
0.392000	-0.000051
0.393000	-0.000053
0.394000	-0.000056
0.395000	-0.000058
0.396000	-0.000061
0.397000	-0.000063
0.398000	-0.000066
0.399000	-0.000069
0.400000	-0.000072
0.401000	-0.000076
0.402000	-0.000079
0.403000	-0.000083
0.404000	-0.000086
0.405000	-0.000090
0.406000	-0.000094
0.407000	-0.000098
0.408000	-0.000103
0.409000	-0.000107
0.410000	-0.000112
0.411000	-0.000117
0.412000	-0.000122
0.413000	-0.000127
0.414000	-0.000133
0.415000	-0.000139
0.416000	-0.000145
0.417000	-0.000151
0.418000	-0.000157
0.419000	-0.000164
0.420000	-0.000171
0.421000	-0.000179
0.422000	-0.000186
0.423000	-0.000194
0.424000	-0.000203
0.425000	-0.000211
0.426000	-0.000220
0.427000	-0.000230
0.428000	-0.000239
0.429000	-0.000250
0.430000	-0.000260
0.431000	-0.000271
0.432000	-0.000282
0.433000	-0.000294
0.434000	-0.000307
0.435000	-0.000319
0.436000	-0.000333
0.437000	-0.000347
0.438000	-0.000361
0.439000	-0.000376
0.440000	-0.000392
0.441000	-0.000408
0.442000	-0.000425
0.443000	-0.000442
0.444000	-0.000460
0.445000	-0.000479
0.446000	-0.000499
0.447000	-0.000519
0.448000	-0.000540
0.449000	-0.000562
0.450000	-0.000585
0.451000	-0.000608
0.452000	-0.000633
0.453000	-0.000658
0.454000	-0.000685
0.455000	-0.000712
0.456000	-0.000740
0.457000	-0.000770
0.458000	-0.000800
0.459000	-0.000832
0.460000	-0.000865
0.461000	-0.000899
0.462000	-0.000935
0.463000	-0.000971
0.464000	-0.001009
0.465000	-0.001049
0.466000	-0.001090
0.467000	-0.001132
0.468000	-0.001176
0.469000	-0.001222
0.470000	-0.001269
0.471000	-0.001318
0.472000	-0.001369
0.473000	-0.001421
0.474000	-0.001476
0.475000	-0.001532
0.476000	-0.001591
0.477000	-0.001651
0.478000	-0.001714
0.479000	-0.001779
0.480000	-0.001846
0.481000	-0.001915
0.482000	-0.001987
0.483000	-0.002062
0.484000	-0.002139
0.485000	-0.002219
0.486000	-0.002301
0.487000	-0.002387
0.488000	-0.002475
0.489000	-0.002567
0.490000	-0.002661
0.491000	-0.002759
0.492000	-0.002860
0.493000	-0.002965
0.494000	-0.003073
0.495000	-0.003185
0.496000	-0.003301
0.497000	-0.003420
0.498000	-0.003544
0.499000	-0.003671
0.500000	-0.003803
0.501000	-0.003940
0.502000	-0.004081
0.503000	-0.004226
0.504000	-0.004376
0.505000	-0.004532
0.506000	-0.004692
0.507000	-0.004858
0.508000	-0.005029
0.509000	-0.005205
0.510000	-0.005388
0.511000	-0.005576
0.512000	-0.005770
0.513000	-0.005971
0.514000	-0.006178
0.515000	-0.006391
0.516000	-0.006611
0.517000	-0.006839
0.518000	-0.007073
0.519000	-0.007315
0.520000	-0.007564
0.521000	-0.007822
0.522000	-0.008087
0.523000	-0.008361
0.524000	-0.008643
0.525000	-0.008933
0.526000	-0.009233
0.527000	-0.009542
0.528000	-0.009860
0.529000	-0.010188
0.530000	-0.010527
0.531000	-0.010875
0.532000	-0.011234
0.533000	-0.011603
0.534000	-0.011984
0.535000	-0.012376
0.536000	-0.012780
0.537000	-0.013195
0.538000	-0.013623
0.539000	-0.014064
0.540000	-0.014518
0.541000	-0.014984
0.542000	-0.015465
0.543000	-0.015959
0.544000	-0.016468
0.545000	-0.016991
0.546000	-0.017530
0.547000	-0.018084
0.548000	-0.018653
0.549000	-0.019239
0.550000	-0.019842
0.551000	-0.020461
0.552000	-0.021098
0.553000	-0.021753
0.554000	-0.022426
0.555000	-0.023118
0.556000	-0.023829
0.557000	-0.024559
0.558000	-0.025310
0.559000	-0.026081
0.560000	-0.026873
0.561000	-0.027687
0.562000	-0.028523
